Id,Label,timeset,page id,Categories,year of first edit,Edit Counts,Page Views,number of words,number of images,u-p/e,page views-label,edit counts-label,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
101,,,101,4,2005,65,10256,1072,7,0.164769,4,2,6,0.273885,0.342119,0.012425
102,,,102,4,2006,80,17003,1029,7,0.221945,4,2,6,0.265432,0.333204,0.01776
103,,,103,2,2004,44,14465,1658,4,0.343301,4,1,9,0.215409,0.258232,0.002202
104,,,104,2,2004,36,6493,3201,2,0.188344,3,1,10,0.212733,0.274563,0.002182
105,,,105,1,2003,58,38922,5145,53,0.700772,4,2,1,1,1,0.000094
106,,,106,2,2003,14,11555,1066,2,0.861889,4,1,0,0,0,0
107,,,107,6,2002,31,14118,2559,3,0.475577,4,1,1,1,1,0.000031
108,,,108,2,2004,24,3726,2283,8,0.162122,3,1,11,0.197406,0.244813,0
109,,,109,6,2003,63,15681,7188,3,0.259922,4,2,2,0.666667,0.75,0
110,,,110,6,2003,30,15374,2251,5,0.53515,4,1,12,0.181946,0.221568,0
111,,,111,5,2003,37,6604,7094,13,0.186387,3,1,12,0.183876,0.230614,0.000877
112,,,112,6,2001,492,147747,12418,69,0.313591,5,10,11,0.22357,0.318947,0.009698
113,,,113,6,2003,59,36892,1634,8,0.652965,4,2,12,0.166667,0.200388,0.004601
114,,,114,4,2002,100,118377,8426,30,1.236167,5,3,11,0.191964,0.234543,0.012825
115,,,115,4,2002,20,28128,855,6,1.468651,4,1,0,0,0,0
116,,,116,4,2002,45,29269,1412,8,0.679211,4,1,9,0.239852,0.290305,0.001044
117,,,117,6,2001,303,117322,8467,21,0.40434,5,7,11,0.200311,0.254865,0.006662
118,,,118,4,2005,23,5347,1092,10,0.242768,3,1,7,0.243856,0.292377,0.000076
119,,,119,4,2001,114,31224,7413,95,0.286018,4,3,12,0.162469,0.188899,0.005843
120,,,120,2,2001,500,236504,7276,23,0.493944,5,11,13,0.152482,0.185467,0.001694
121,,,121,5,2002,31,16164,1711,10,0.544499,4,1,12,0.184814,0.239766,0.002222
122,,,122,5,2001,500,81831,5707,16,0.170906,4,11,13,0.159456,0.200555,0.000094
123,,,123,5,2004,32,48050,1901,6,1.568025,4,1,11,0.225919,0.339231,0.038803
124,,,124,6,2006,48,12093,2450,17,0.263089,4,1,12,0.180055,0.212446,0.000215
125,,,125,6,2004,42,35628,268,2,0.885833,4,1,11,0.205087,0.276847,0.022073
126,,,126,5,2004,42,12733,1416,4,0.316586,4,1,11,0.201248,0.285706,0.010573
127,,,127,2,2004,282,259404,5815,19,0.960588,5,6,12,0.170861,0.211564,0
128,,,128,6,2004,19,7300,598,10,0.401217,3,1,12,0.171088,0.212856,0
129,,,129,6,2006,28,16960,310,2,0.632525,4,1,13,0.152844,0.190635,0.000055
130,,,130,2,2001,93,46520,1525,8,0.522356,4,2,1,1,1,0.001049
131,,,131,2,2003,33,12875,1390,10,0.407421,4,1,11,0.190547,0.227954,0.002091
132,,,132,2,2003,16,2776,1386,0,0.18118,3,1,0,0,0,0
133,,,133,6,2003,44,57606,1668,3,1.367177,4,1,12,0.184023,0.264923,0.0336
134,,,134,1,2003,187,118689,4275,54,0.662794,5,4,11,0.219761,0.303185,0.000089
135,,,135,6,2001,56,61987,7124,77,1.155905,4,2,13,0.140693,0.160685,0.000094
136,,,136,5,2004,138,35374,3293,15,0.267679,4,3,11,0.197289,0.245081,0.000126
137,,,137,5,2003,110,281237,1197,6,2.669866,5,3,13,0.155609,0.19488,0
138,,,138,5,2005,26,190678,1180,4,7.65838,5,1,11,0.190828,0.228342,0.002679
139,,,139,5,2002,390,1601927,4615,16,4.289313,6,8,13,0.155797,0.198756,0
140,,,140,5,2005,104,175616,940,3,1.763358,5,3,0,0,0,0
141,,,141,5,2006,24,4999,920,2,0.217511,3,1,0,0,0,0
142,,,142,5,2003,42,126881,680,5,3.154692,5,1,0,0,0,0
143,,,143,1,2002,403,129566,7073,56,0.335734,5,9,9,0.293413,0.382669,0.007742
144,,,144,4,2007,8,523,297,5,0.068269,2,1,0,0,0,0
145,,,145,1,2005,11,587,539,9,0.055726,2,1,10,0.242175,0.286611,0
146,,,146,5,2005,8,86,39,2,0.011226,1,1,10,0.227202,0.264048,0
147,,,147,4,2006,4,284,214,3,0.074143,2,1,9,0.278926,0.353721,0.00174
148,,,148,6,2008,6,1995,635,0,0.347217,3,1,13,0.163968,0.197368,0.000061
149,,,149,6,2007,5,1699,443,2,0.35484,3,1,12,0.192399,0.241586,0.004439
150,,,150,6,2006,39,3848,1247,3,0.103034,3,1,12,0.186207,0.229968,0.003127
151,,,151,2,2002,43,100318,9409,68,2.43624,5,1,11,0.235465,0.325508,0.012602
152,,,152,2,2003,98,55572,7060,10,0.592161,4,2,11,0.224348,0.29918,0.004168
153,,,153,2,2001,168,39570,12319,67,0.245961,4,4,11,0.177442,0.202271,0.016797
154,,,154,2,2001,60,148383,10941,71,2.582513,5,2,11,0.256735,0.384238,0.022537
155,,,155,5,2003,80,11684,11604,20,0.152515,4,2,10,0.205584,0.23882,0.00023
156,,,156,5,2004,18,9797,1329,2,0.568369,3,1,11,0.234104,0.300714,0.000005
157,,,157,5,2001,98,24204,8113,36,0.257912,4,2,11,0.242879,0.329315,0.004132
158,,,158,5,2003,16,6788,3005,18,0.443028,3,1,10,0.2592,0.353444,0.008515
159,,,159,1,2004,11,4345,1130,4,0.412484,3,1,11,0.226891,0.285179,0.000191
160,,,160,2,2002,109,38836,8417,63,0.372064,4,3,11,0.235123,0.317013,0.003173
161,,,161,5,2001,500,308882,16231,69,0.645108,5,11,10,0.240713,0.299329,0.01034
162,,,162,5,2004,12,5629,2060,10,0.489846,3,1,11,0.232759,0.306372,0.001059
163,,,163,2,2002,70,34514,11611,82,0.514881,4,2,11,0.227528,0.31547,0.003434
164,,,164,2,2003,12,16621,2826,9,1.44639,4,1,11,0.230441,0.302154,0.002593
165,,,165,2,2005,7,1462,1041,8,0.218102,3,1,11,0.221918,0.27639,0.000553
166,,,166,5,2005,10,1028,817,9,0.10735,3,1,11,0.235465,0.310282,0.00077
167,,,167,5,2004,18,8704,1052,9,0.504959,3,1,0,0,0,0
168,,,168,2,2002,30,17781,4250,23,0.618934,4,1,11,0.223757,0.302668,0.001719
169,,,169,5,2005,10,1228,1050,7,0.128235,3,1,11,0.244344,0.338001,0.00693
170,,,170,5,2004,41,16131,3705,21,0.410854,4,1,11,0.240713,0.327404,0.000206
171,,,171,2,2005,8,1640,4751,7,0.214074,3,1,11,0.235808,0.314088,0.00022
172,,,172,2,2004,16,5942,8118,28,0.387813,3,1,11,0.235808,0.312031,0.000231
173,,,173,5,2002,139,35806,7431,40,0.268999,4,3,11,0.210016,0.261952,0.00439
174,,,174,4,2004,22,3257,2564,18,0.154598,3,1,0,0,0,0
175,,,175,4,2003,80,43225,765,18,0.564228,4,2,0,0,0,0
176,,,176,5,2011,3,40,116,2,0.013923,1,1,0,0,0,0
177,,,177,1,2003,54,30719,11587,60,0.59405,4,2,1,1,1,0
178,,,178,5,2002,159,314988,4768,12,2.068743,5,4,0,0,0,0
179,,,179,6,2005,10,1113,145,1,0.116226,3,1,0,0,0,0
